id	fruit and vegetable	herb and spice	nut	meat	grain	paste and sauce	dairy	seafood
Ancho chile	0	1	0	0	0	0	0	0
Armenian cheese	0	0	0	0	0	0	1	0
BBQ	0	1	0	0	0	0	0	0
Berbere	0	1	0	0	0	0	0	0
Bergkäse	0	0	0	0	0	0	1	0
Blue Wensleydale cheese	0	0	0	0	0	0	1	0
Brie	0	0	0	0	0	0	1	0
Brunost	0	0	0	0	0	0	1	0
Brussels cheese	0	0	0	0	0	0	1	0
Caerphilly cheese	0	0	0	0	0	0	1	0
California grape	1	0	0	0	0	0	0	0
Carolina Reaper pepper	0	1	0	0	0	0	0	0
Cheddar	0	0	0	0	0	0	1	0
Chimay cheese	0	0	0	0	0	0	1	0
Circassian cheese	0	0	0	0	0	0	1	0
Colby-Jack cheese	0	0	0	0	0	0	1	0
Cornish Yarg cheese	0	0	0	0	0	0	1	0
Cotija cheese	0	0	0	0	0	0	1	0
Danish Blue cheese	0	0	0	0	0	0	1	0
Datil pepper	0	1	0	0	0	0	0	0
Dungeness crab	0	0	0	0	0	0	0	1
Farleigh Wallop cheese	0	0	0	0	0	0	1	0
Feta	0	0	0	0	0	0	1	0
Gloucester cheese	0	0	0	0	0	0	1	0
Greek yogurt	0	0	0	0	0	0	1	0
Halloumi	0	0	0	0	0	0	1	0
Havarti	0	0	0	0	0	0	1	0
Herve	0	0	0	0	0	0	1	0
Humbolt Fog cheese	0	0	0	0	0	0	1	0
Icelandic yogurt	0	0	0	0	0	0	1	0
Imsil cheese	0	0	0	0	0	0	1	0
Jāņi cheese	0	0	0	0	0	0	1	0
Kashkaval cheese	0	0	0	0	0	0	1	0
Limburger	0	0	0	0	0	0	1	0
Livno cheese	0	0	0	0	0	0	1	0
Lüneberg cheese	0	0	0	0	0	0	1	0
Manchego	0	0	0	0	0	0	1	0
Marmite	0	0	0	0	0	1	0	0
Meyer lemon	1	0	0	0	0	0	0	0
Montafoner Sauerkäse	0	0	0	0	0	0	1	0
Muenster cheese	0	0	0	0	0	0	1	0
Old Bay	0	1	0	0	0	0	0	0
Olomoucké syrečky	0	0	0	0	0	0	1	0
Passendale cheese	0	0	0	0	0	0	1	0
Paški sir cheese	0	0	0	0	0	0	1	0
Pecorino Romano	0	0	0	0	0	0	1	0
Peppadew pepper	0	1	0	0	0	0	0	0
Pálpusztai cheese	0	0	0	0	0	0	1	0
Red Leicester cheese	0	0	0	0	0	0	1	0
Samsø cheese	0	0	0	0	0	0	1	0
Scotch bonnet	0	1	0	0	0	0	0	0
Serrano chile	0	1	0	0	0	0	0	0
Shropshire Blue cheese	0	0	0	0	0	0	1	0
Stilton	0	0	0	0	0	0	1	0
Stinking Bishop cheese	0	0	0	0	0	0	1	0
Swedish moose cheese	0	0	0	0	0	0	1	0
Swiss cheese	0	0	0	0	0	0	1	0
São Jorge cheese	0	0	0	0	0	0	1	0
Tonka bean	0	1	0	0	0	0	0	0
Turkish apple tea	0	1	0	0	0	0	0	0
Vegemite	0	0	0	0	0	1	0	0
acai 	1	0	0	0	0	0	0	0
acorn squash	1	0	0	0	0	0	0	0
