id	nicknames
Aaden	Aaden
Aaliyah	Aaliyah
Aarav	Aarav
Aaron	Aaron
Abbey	Abbey
Abbie	Abbie
Abbigail	Abby
Abby	Abby
Abdiel	Abdiel
Abdullah	Abdul
Abel	Abel
Abigail	Abby
Abraham	Abe
Abram	Abe
Abrielle	Abby
Abril	Abril
Ace	Ace
Ada	Ada
Adalyn	Ada
Adalynn	Ada
Adam	Ad
Adan	Ad
Addilyn	Addy, Ad
Addison	Addy, Ad
Addisyn	Addy, Ad
Addyson	Addy, Ad
Adelaide	Addy, Ad
Adele	Addy, Ad
Adelina	Addy, Ad
Adeline	Addy, Ad
Adelyn	Addy, Ad
Adelynn	Addy, Ad
Aden	Addy, Ad
Aditya	Addy, Ad
Adonis	Addy, Ad
Adrian	Addy, Ad
Adriana	Addy, Ad
Adrianna	Addy, Ad
Adriel	Adriel
Adrien	Adrien
Adrienne	Adrienne
Adyson	Addy, Ad
Agustin	Gus
Ahmad	Ahmad
Ahmed	Ahmed
Aidan	Aidan
Aiden	Aiden
Aidyn	Aidyn
Aileen	Aileen
Aimee	Aimee
Ainsley	Ainsley
Aisha	Aisha
Aiyana	Aiyana
Akira	Akira
Alaina	Alaina
Alan	Alan, Al
Alana	Alana, Lana
Alani	Alani, Lani
Alanna	Alanna, Lanna
Alannah	Alannah, Lannah
Alaya	Alaya
Alayah	Alayah
Alayna	Alayna
Albert	Al, Bert
Alberto	Al, Bert
Alden	Al
Aldo	Al
Aleah	Aleah
Alec	Alec
Aleena	Leena
Aleigha	Aleigha
Alejandra	Alejandra
Alejandro	Alejandro
Alena	Alena
Alessandra	Alessandra
Alessandro	Alessandro
Alex	Alex
Alexa	Alexa
Alexander	Alex
Alexandra	Alex
Alexandria	Alex
Alexia	Alex
Alexis	Alex
Alexzander	Alex
Alfonso	Alf
Alfred	Alf, Fred
Alfredo	Alf, Fred
Ali	Ali
Alia	Ali
Aliana	Ali
Alianna	Ali
Alice	Alice
Alicia	Alicia
Alijah	Alijah
Alina	Alina
Alisha	Alisha
Alison	Alison
Alissa	Alissa
Alisson	Alisson
Alivia	Liv
Aliya	Aliya
Aliyah	Aliyah
Aliza	Aliza
Allan	Allan
Allen	Allen
Allie	Allie
Allison	Allison
Ally	Ally
Allyson	Allyson
Alma	Alma
Alondra	Alondra
Alonso	Alonso
Alonzo	Alonzo
Alvaro	Alvaro
Alvin	Alvin
Alyson	Alyson
Alyssa	Alyssa
Alyvia	Alyvia
Amalia	Amalia
Amanda	Amanda
Amani	Amani
Amara	Amara
Amare	Amare
Amari	Amari
Amaya	Amaya
Amber	Amber
Amelia	Amelia
Amelie	Amelie
America	America
Amina	Amina
Amir	Amir
Amira	Amira
Amirah	Amirah
Amiya	Amiya
Amiyah	Amiyah
Amos	Amos
Amy	Amy
Amya	Amya
Ana	Ana
Anabel	Anna
Anabella	Anna, Bella
Anabelle	Anna, Bella
Anahi	Anahi
Analia	Analia
Anastasia	Annie
Anaya	Anaya
Anders	Anders
Anderson	Anderson
Andre	Andre
Andrea	Andrea
Andres	Andres
Andrew	Andy
Andy	Andy
Angel	Angel
Angela	Angela
Angelica	Angelica
Angelina	Angel
Angeline	Angel
Angelique	Angel
Angelo	Angelo
Angie	Angie
Anika	Annie
