id	dairy	dairylike	beer	wine	juice	water	softdrink	coffee	energydrink	proteindrink	tea	alcohol	otherdrink
88th Night Shincha Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Adam's Peak White Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Alentejo	0	0	0	1	0	0	0	0	0	0	0	1	0
Amacha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Amber Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Ancient Green Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Anji Bai Cha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Anthemis Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Apricot with Flowers Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Aracha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Assam GFOP Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Assam GFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Assam Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacanora	0	0	0	0	0	0	0	0	0	0	0	1	0
Bai Jiguan Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bai Mudan Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Baihao Yinzhen Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Baimao Hou Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Baker Street Afternoon Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Balasun Estate SFTGFOP1 First Flush Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Ban Tian Yao Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bancha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Banyuls	0	0	0	1	0	0	0	0	0	0	0	1	0
Barbaresco	0	0	0	1	0	0	0	0	0	0	0	1	0
Beaujolais	0	0	0	1	0	0	0	0	0	0	0	1	0
Belgachi Special Assam Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Biluochun Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bitter Melon Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Black Dragon Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Black Label Breakfast Fannings Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Black Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Black with Vanilla Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Blackcurrant Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Blue Flower Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bohea Special Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Boldo Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Bordeaux	0	0	0	1	0	0	0	0	0	0	0	1	0
Bos Ice Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Brazilian passion fruit Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Brut	0	0	0	1	0	0	0	0	0	0	0	1	0
Bu Zhi Chun Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Buddha's Palm Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Builder's Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Burgundy	0	0	0	1	0	0	0	0	0	0	0	1	0
Butter Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
CTC Fine Assam Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
CTC Irish Breakfast Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Cabernet Sauvignon	0	0	0	1	0	0	0	0	0	0	0	1	0
Cannabis Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Cape Cod Cranberry Fruit Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Castleton Estate FTGFOP1 Moonlight Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
